Video_ID,Title,Channel,Publish_Date,Publish_Time,Views,Likes,Disliked,Comment_Count,Video_Tags,Video_Description
afkI-8jA1GU,DevOps tips for GitHub apps: tweaks for staging apps - GitHub Satellite 2020,GitHub,2020-05-07,07:50:20,418,0,0,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github satellite', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite 2020', 'Platform.sh']","Presented by Chad Carlson, Platform.ShGitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
edhL-XL0oOI,Cloud security best practices with CloudFormation and GitHub Actions - GitHub Satellite 2020,GitHub,2020-05-07,07:50:43,722,16,16,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github satellite', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite 2020', 'Bridgecrew', 'CloudFormation']","Presented by Jon Jozwiak, BridgecrewGitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
uNX3Rty_QzA,Implementing terraform security best practices using Github Actions - GitHub Satellite 2020,GitHub,2020-05-07,07:50:20,224,4,4,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github satellite', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite 2020', 'Bridgecrew']","Presented by Nimrod Ko, BridgecrewGitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
-xrFNFby7hc,Async workflows with repository dispatch - GitHub Satellite 2020,GitHub,2020-05-07,07:50:20,304,7,7,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github satellite', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite 2020', 'Mable']","Presented by Joe Lust, MableGitHub Satellite: A community connected by codeOn May 6th, we threw a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
qdgnRct0_nw,GitHub Satellite Virtual 2020 - Play,GitHub,2020-05-07,05:01:11,9245,244,244,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite', 'github satellite 2020', 'live coding', 'tidalcycles', 'sonic pi', 'sonic pi performance', 'shader', 'kodelife']","GitHub Satellite: A community connected by codeCheck out the Work track: https://www.youtube.com/watch?v=FhZTPM9ysWkJoin us here on May 6 for a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.More information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
FhZTPM9ysWk,GitHub Satellite Virtual 2020 - Work,GitHub,2020-05-07,04:42:09,39285,889,889,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'github satellite']","GitHub Satellite: A community connected by codeJoin us here on May 6 for a free virtual event featuring developers working together on the world’s software, announcements from the GitHub team, and inspiring performances by artists who code.Check out the Play track: https://www.youtube.com/watch?v=qdgnRct0_nwMore information: https://githubsatellite.comSchedule: https://githubsatellite.com/schedule/"
hP9pE-OKwSA,Neil Matatall: Managing content security policy and samesite cookies,GitHub,2020-04-30,23:13:51,681,26,26,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software']","As always, feel free to leave us a comment below and don't forget to subscribe: http://bit.ly/subgithub

Thanks!

Connect with us.
Facebook: http://fb.com/github
Twitter: http://twitter.com/github
LinkedIn: http://linkedin.com/company/github

About GitHub
GitHub is the best place to share code with friends, co-workers, classmates, and complete strangers. Millions of people use GitHub to build amazing things together. For more info, go to http://github.com"
aY5pIuxRixs,Alyssa Miller: DevSecOps compatible threat modeling,GitHub,2020-04-30,23:11:04,1066,32,32,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software']","As always, feel free to leave us a comment below and don't forget to subscribe: http://bit.ly/subgithub

Thanks!

Connect with us.
Facebook: http://fb.com/github
Twitter: http://twitter.com/github
Google+: http://google.com/+github
LinkedIn: http://linkedin.com/company/github

About GitHub
GitHub is the best place to share code with friends, co-workers, classmates, and complete strangers. Millions of people use GitHub to build amazing things together. For more info, go to http://github.com"
a1qrjtrmOj0,Stefan Edwards and Robert Tonic: Go-ing for an evening stroll,GitHub,2020-04-30,23:09:24,437,7,7,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software']","As always, feel free to leave us a comment below and don't forget to subscribe: http://bit.ly/subgithub

Thanks!

Connect with us.
Facebook: http://fb.com/github
Twitter: http://twitter.com/github
LinkedIn: http://linkedin.com/company/github

About GitHub
GitHub is the best place to share code with friends, co-workers, classmates, and complete strangers. Millions of people use GitHub to build amazing things together. For more info, go to http://github.com"
Eos48e0vSXM,Andrea Brancaleoni - InQL: GraphQL Security Testing Made Easy,GitHub,2020-04-30,22:59:27,631,17,17,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software']","As always, feel free to leave us a comment below and don't forget to subscribe: http://bit.ly/subgithub

Thanks!

Connect with us.
Facebook: http://fb.com/github
Twitter: http://twitter.com/github
LinkedIn: http://linkedin.com/company/github

About GitHub
GitHub is the best place to share code with friends, co-workers, classmates, and complete strangers. Millions of people use GitHub to build amazing things together. For more info, go to http://github.com"
AefLSAhXtBY,"Github Security Meetup  Jan 22, 2020 - San Francisco",GitHub,2020-01-25,03:07:32,3018,65,65,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software']","4 lightning talks about securing open source, from Alvaro Muñoz, James Forshaw, Michael Scovetta, and Sam Lanning.As always, feel free to leave us a comment below and don't forget to subscribe: http://bit.ly/subgithub

Thanks!

Connect with us.
Facebook: http://fb.com/github
Twitter: http://twitter.com/github
Google+: http://google.com/+github
LinkedIn: http://linkedin.com/company/github

About GitHub
GitHub is the best place to share code with friends, co-workers, classmates, and complete strangers. Millions of people use GitHub to build amazing things together. For more info, go to http://github.com"
zDNDTCG8Oko,GitHub Game Off 2019 Highlights,GitHub,2020-01-15,01:09:50,7074,254,254,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software']","Game Off is our annual game jam, where participants spend a month creating games based on a secret theme. View this year's winners @ https://github.blog/2020-01-14-game-off-2019-winners.Featured audio ♩ ♪ ♫ ♬Spectra by Chipzel: https://chipzel.co.uk/album/spectra"
0ahRkhrOePo,Advanced GitHub Actions: workflows for production grade CI/CD - GitHub Universe 2019,GitHub,2019-12-14,04:59:48,6186,120,120,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'github actions', 'github actions howto', 'continuous integration', 'continuous deployment', 'cicd', 'ci/cd', 'ci cd', 'devops', 'github actions devops']","Join GitHub Product Managers, Kayla Ngan and Edward Thomson, for a demo-packed session on GitHub Actions. After a short primer on advanced features, see how to deploy to GitHub Packages, auto-merge dependabot pull requests, and deploy a web service. This talk will inspire you to get creative with how you use Actions in your daily workflows.About GitHub Universe:GitHub Universe is a two-day conference dedicated to the creativity and curiosity of the largest software community in the world. Sessions cover topics from team culture to open source software across industries and technologies.For more information on GitHub Universe, check the website:https://githubuniverse.com"
BctzNj1RcPU,Changing work culture through documentation - GitHub Universe 2019,GitHub,2019-12-17,04:59:50,1671,23,23,Comments disabled/turned off.,"['git', 'github', 'github universe', 'github universe 2019', 'collaboration', 'programming', 'version control', 'open source', 'software development', 'octocat', 'innersource', 'enterprise software', 'documentation', 'machine learning', 'scientific computing']","Presented by Tania Allard, Developer Advocate at MicrosoftMost developers have heard “good code documents itself” or “documentation outdates easily, the code does not” at some point. This is an excuse to not write documentation or justify the absence of it. In my work with many teams, the lack of documentation is often a symptom of high technical debt.What if we could turn this around and use documentation like a driver for positive culture change and start paying the critical technical debt? This approach not only helps teams to faster identify areas that need critical support but also brings more empathy to the table.In this talk, Tania draws on experiences using documentation as a weapon for positive culture and process change in machine learning and scientific computing environments. She focuses on the processes and approaches that enable the creation of documentation for data scientists, infrastructure, and software engineering teams, and clients.By the end of the talk, you'll learn efficient techniques to make documentation a first-class citizen in your development cycles—and leave with one or two tricks to convince even the most reluctant developer to document code.About GitHub Universe:GitHub Universe is a two-day conference dedicated to the creativity and curiosity of the largest software community in the world. Sessions cover topics from team culture to open source software across industries and technologies.For more information on GitHub Universe, check the website:https://githubuniverse.com"
